date,jour,
2002-01-01,3,Mardi
2002-04-01,2,Lundi
2002-05-01,4,Mercredi
2002-05-08,4,Mercredi
2002-05-09,5,Jeudi
2002-05-20,2,Lundi
2002-07-14,1,Dimanche
2002-08-15,5,Jeudi
2002-11-01,6,Vendredi
2002-11-11,2,Lundi
2002-12-25,4,Mercredi
2003-01-01,4,Mercredi
2003-04-21,2,Lundi
2003-05-01,5,Jeudi
2003-05-08,5,Jeudi
2003-05-29,5,Jeudi
2003-06-09,2,Lundi
2003-07-14,2,Lundi
2003-08-15,6,Vendredi
2003-11-01,7,Samedi
2003-11-11,3,Mardi
2003-12-25,5,Jeudi
2004-01-01,5,Jeudi
2004-04-12,2,Lundi
2004-05-01,7,Samedi
2004-05-08,7,Samedi
2004-05-20,5,Jeudi
2004-05-31,2,Lundi
2004-07-14,4,Mercredi
2004-08-15,1,Dimanche
2004-11-01,2,Lundi
2004-11-11,5,Jeudi
2004-12-25,7,Samedi
2005-01-01,7,Samedi
2005-03-28,2,Lundi
2005-05-01,1,Dimanche
2005-05-05,5,Jeudi
2005-05-08,1,Dimanche
2005-05-16,2,Lundi
2005-07-14,5,Jeudi
2005-08-15,2,Lundi
2005-11-01,3,Mardi
2005-11-11,6,Vendredi
2005-12-25,1,Dimanche
2006-01-01,1,Dimanche
2006-04-17,2,Lundi
2006-05-01,2,Lundi
2006-05-08,2,Lundi
2006-05-25,5,Jeudi
2006-06-05,2,Lundi
2006-07-14,6,Vendredi
2006-08-15,3,Mardi
2006-11-01,4,Mercredi
2006-11-11,7,Samedi
2006-12-25,2,Lundi
2007-01-01,2,Lundi
2007-04-09,2,Lundi
2007-05-01,3,Mardi
2007-05-08,3,Mardi
2007-05-17,5,Jeudi
2007-05-28,2,Lundi
2007-07-14,7,Samedi
2007-08-15,4,Mercredi
2007-11-01,5,Jeudi
2007-11-11,1,Dimanche
2007-12-25,3,Mardi
2008-01-01,3,Mardi
2008-03-24,2,Lundi
2008-05-01,5,Jeudi
2008-05-01,5,Jeudi
2008-05-08,5,Jeudi
2008-05-12,2,Lundi
2008-07-14,2,Lundi
2008-08-15,6,Vendredi
2008-11-01,7,Samedi
2008-11-11,3,Mardi
2008-12-25,5,Jeudi
2009-01-01,5,Jeudi
2009-04-13,2,Lundi
2009-05-01,6,Vendredi
2009-05-08,6,Vendredi
2009-05-21,5,Jeudi
2009-06-01,2,Lundi
2009-07-14,3,Mardi
2009-08-15,7,Samedi
2009-11-01,1,Dimanche
2009-11-11,4,Mercredi
2009-12-25,6,Vendredi
2010-01-01,6,Vendredi
2010-04-05,2,Lundi
2010-05-01,7,Samedi
2010-05-08,7,Samedi
2010-05-13,5,Jeudi
2010-05-24,2,Lundi
2010-07-14,4,Mercredi
2010-08-15,1,Dimanche
2010-11-01,2,Lundi
2010-11-11,5,Jeudi
2010-12-25,7,Samedi
2011-01-01,7,Samedi
2011-04-25,2,Lundi
2011-05-01,1,Dimanche
2011-05-08,1,Dimanche
2011-06-02,5,Jeudi
2011-06-13,2,Lundi
2011-07-14,5,Jeudi
2011-08-15,2,Lundi
2011-11-01,3,Mardi
2011-11-11,6,Vendredi
2011-12-25,1,Dimanche
2012-01-01,1,Dimanche
2012-04-09,2,Lundi
2012-05-01,3,Mardi
2012-05-08,3,Mardi
2012-05-17,5,Jeudi
2012-05-28,2,Lundi
2012-07-14,7,Samedi
2012-08-15,4,Mercredi
2012-11-01,5,Jeudi
2012-11-11,1,Dimanche
2012-12-25,3,Mardi
2013-01-01,3,Mardi
2013-04-01,2,Lundi
2013-05-01,4,Mercredi
2013-05-08,4,Mercredi
2013-05-09,5,Jeudi
2013-05-20,2,Lundi
2013-07-14,1,Dimanche
2013-08-15,5,Jeudi
2013-11-01,6,Vendredi
2013-11-11,2,Lundi
2013-12-25,4,Mercredi
2014-01-01,4,Mercredi
2014-04-21,2,Lundi
2014-05-01,5,Jeudi
2014-05-08,5,Jeudi
2014-05-29,5,Jeudi
2014-06-09,2,Lundi
2014-07-14,2,Lundi
2014-08-15,6,Vendredi
2014-11-01,7,Samedi
2014-11-11,3,Mardi
2014-12-25,5,Jeudi
2015-01-01,5,Jeudi
2015-04-06,2,Lundi
2015-05-01,6,Vendredi
2015-05-08,6,Vendredi
2015-05-14,5,Jeudi
2015-05-25,2,Lundi
2015-07-14,3,Mardi
2015-08-15,7,Samedi
2015-11-01,1,Dimanche
2015-11-11,4,Mercredi
2015-12-25,6,Vendredi
2016-01-01,6,Vendredi
2016-03-28,2,Lundi
2016-05-01,1,Dimanche
2016-05-05,5,Jeudi
2016-05-08,1,Dimanche
2016-05-16,2,Lundi
2016-07-14,5,Jeudi
2016-08-15,2,Lundi
2016-11-01,3,Mardi
2016-11-11,6,Vendredi
2016-12-25,1,Dimanche
2017-01-01,1,Dimanche
2017-04-17,2,Lundi
2017-05-01,2,Lundi
2017-05-08,2,Lundi
2017-05-25,5,Jeudi
2017-06-05,2,Lundi
2017-07-14,6,Vendredi
2017-08-15,3,Mardi
2017-11-01,4,Mercredi
2017-11-11,7,Samedi
2017-12-25,2,Lundi
2018-01-01,2,Lundi
2018-04-02,2,Lundi
2018-05-01,3,Mardi
2018-05-08,3,Mardi
2018-05-10,5,Jeudi
2018-05-21,2,Lundi
2018-07-14,7,Samedi
2018-08-15,4,Mercredi
2018-11-01,5,Jeudi
2018-11-11,1,Dimanche
2018-12-25,3,Mardi
2019-01-01,3,Mardi
2019-04-22,2,Lundi
2019-05-01,4,Mercredi
2019-05-08,4,Mercredi
2019-05-30,5,Jeudi
2019-06-10,2,Lundi
2019-07-14,1,Dimanche
2019-08-15,5,Jeudi
2019-11-01,6,Vendredi
2019-11-11,2,Lundi
2019-12-25,4,Mercredi
2020-01-01,4,Mercredi
2020-04-13,2,Lundi
2020-05-01,6,Vendredi
2020-05-08,6,Vendredi
2020-05-21,5,Jeudi
2020-06-01,2,Lundi
2020-07-14,3,Mardi
2020-08-15,7,Samedi
2020-11-01,1,Dimanche
2020-11-11,4,Mercredi
2020-12-25,6,Vendredi
2021-01-01,6,Vendredi
2021-04-05,2,Lundi
2021-05-01,7,Samedi
2021-05-08,7,Samedi
2021-05-13,5,Jeudi
2021-05-24,2,Lundi
2021-07-14,4,Mercredi
2021-08-15,1,Dimanche
2021-11-01,2,Lundi
2021-11-11,5,Jeudi
2021-12-25,7,Samedi
2022-01-01,7,Samedi
2022-04-18,2,Lundi
2022-05-01,1,Dimanche
2022-05-08,1,Dimanche
2022-05-26,5,Jeudi
2022-06-06,2,Lundi
2022-07-14,5,Jeudi
2022-08-15,2,Lundi
2022-11-01,3,Mardi
2022-11-11,6,Vendredi
2022-12-25,1,Dimanche
2023-01-01,1,Dimanche
2023-04-10,2,Lundi
2023-05-01,2,Lundi
2023-05-08,2,Lundi
2023-05-18,5,Jeudi
2023-05-29,2,Lundi
2023-07-14,6,Vendredi
2023-08-15,3,Mardi
2023-11-01,4,Mercredi
2023-11-11,7,Samedi
2023-12-25,2,Lundi
2024-01-01,2,Lundi
2024-04-01,2,Lundi
2024-05-01,4,Mercredi
2024-05-08,4,Mercredi
2024-05-09,5,Jeudi
2024-05-20,2,Lundi
2024-07-14,1,Dimanche
2024-08-15,5,Jeudi
2024-11-01,6,Vendredi
2024-11-11,2,Lundi
2024-12-25,4,Mercredi
2025-01-01,4,Mercredi
2025-04-21,2,Lundi
2025-05-01,5,Jeudi
2025-05-08,5,Jeudi
2025-05-29,5,Jeudi
2025-06-09,2,Lundi
2025-07-14,2,Lundi
2025-08-15,6,Vendredi
2025-11-01,7,Samedi
2025-11-11,3,Mardi
2025-12-25,5,Jeudi
2026-01-01,5,Jeudi
2026-04-06,2,Lundi
2026-05-01,6,Vendredi
2026-05-08,6,Vendredi
2026-05-14,5,Jeudi
2026-05-25,2,Lundi
2026-07-14,3,Mardi
2026-08-15,7,Samedi
2026-11-01,1,Dimanche
2026-11-11,4,Mercredi
2026-12-25,6,Vendredi
2027-01-01,6,Vendredi
2027-03-29,2,Lundi
2027-05-01,7,Samedi
2027-05-06,5,Jeudi
2027-05-08,7,Samedi
2027-05-17,2,Lundi
2027-07-14,4,Mercredi
2027-08-15,1,Dimanche
2027-11-01,2,Lundi
2027-11-11,5,Jeudi
2027-12-25,7,Samedi
